Date,Video ID,Title,Channel,Talents,Published,View Count,Is Cover,Thumbnail
24/01/2022,oazCXvy6Rvs,【オリジナル楽曲】POP-TALK / 夕刻ロベル【HOLOSTARS】,Roberu Ch. 夕刻ロベル,ロベル,24/12/2021,45994,original,https://i.ytimg.com/vi/oazCXvy6Rvs/default.jpg
24/01/2022,QaEW5hhLxuk,【original】Choco♡Melty【ホロライブ/癒月ちょこ/夜空メル】,Choco Ch. 癒月ちょこ,メル ちょこ,24/12/2021,75543,original,https://i.ytimg.com/vi/QaEW5hhLxuk/default.jpg
24/01/2022,R3OxEcOpT0M,『んっあっあっ。』/SLAVE.V-V-R covered by 博衣こより【歌ってみた】,Koyori ch. 博衣こより - holoX -,こより,24/12/2021,1061812,cover,https://i.ytimg.com/vi/R3OxEcOpT0M/default.jpg
24/01/2022,9x__xN3TUh8,Kiara Jingle Bell Rock ( Mean Girls ) ft. Kiara Takanashi | Kanauru Collab,Kanauru,Kiara,23/12/2021,523586,original,https://i.ytimg.com/vi/9x__xN3TUh8/default.jpg
24/01/2022,0firv69LkgI,灰色と青/常闇トワ×星街すいせい(cover),Towa Ch. 常闇トワ,すいせい トワ,23/12/2021,1964964,cover,https://i.ytimg.com/vi/0firv69LkgI/default.jpg
24/01/2022,R5yfM_UlucY,い〜やい〜やい〜や(Whatever whatever whatever) / Takanashi Kiara & Ninomae Ina'nis (COVER),Takanashi Kiara Ch. hololive-EN,Kiara Ina'nis,22/12/2021,1528092,cover,https://i.ytimg.com/vi/R5yfM_UlucY/default.jpg
24/01/2022,HxpsO2WeCNw,アニマル／白上フブキ(Cover),フブキCh。白上フブキ,フブキ,22/12/2021,1058318,cover,https://i.ytimg.com/vi/HxpsO2WeCNw/default.jpg
24/01/2022,98aqmvP2-xk,シャンティ(SHANTI) / Coverd by 影山シエン,Shien Ch.影山シエン,シエン,22/12/2021,97466,cover,https://i.ytimg.com/vi/98aqmvP2-xk/default.jpg
24/01/2022,Sv3HckLI7kg,カムパネルラ／天音かなた×しぐれうい(cover),Kanata Ch. 天音かなた,かなた,22/12/2021,190309,cover,https://i.ytimg.com/vi/Sv3HckLI7kg/default.jpg
24/01/2022,2pYaIr-4pfA,【アイドルが】誇り高きアイドル／湊あくあ【歌ってみた】,Aqua Ch. 湊あくあ,あくあ,21/12/2021,502604,cover,https://i.ytimg.com/vi/2pYaIr-4pfA/default.jpg
24/01/2022,SNX6Gck9UIE,アニマル / 獅白ぼたん(cover),Botan Ch.獅白ぼたん,ぼたん,21/12/2021,646023,cover,https://i.ytimg.com/vi/SNX6Gck9UIE/default.jpg
24/01/2022,eVlNtQulXi4,大切なお知らせ (feat. AZKi),Wataru Sena - Topic,AZKi,21/12/2021,1920,original,https://i.ytimg.com/vi/eVlNtQulXi4/default.jpg
24/01/2022,__CkCBzJKV4,ひとくち、ちょうだい？ (feat. AZKi),Wataru Sena - Topic,AZKi,21/12/2021,1791,original,https://i.ytimg.com/vi/__CkCBzJKV4/default.jpg
24/01/2022,H1bHFQPTSOs,恋の宅配便 (feat. AZKi),Wataru Sena - Topic,AZKi,21/12/2021,1405,original,https://i.ytimg.com/vi/H1bHFQPTSOs/default.jpg
24/01/2022,RpiPeAKx3Rc,フォニイ / 角巻わため(Cover),Watame Ch. 角巻わため,わため,21/12/2021,637451,cover,https://i.ytimg.com/vi/RpiPeAKx3Rc/default.jpg
24/01/2022,kPyLnwSXqkA,The Twelve Days of Christmas - hololive English Cover,hololive English,Calliope Kiara Ina'nis Gura Amelia IRyS Kronii Mumei Sana Baelz Fauna,21/12/2021,904851,cover,https://i.ytimg.com/vi/kPyLnwSXqkA/default.jpg
24/01/2022,JdmabABHdwU,Magic Word Orchestra,Various Artists - Topic,みやび イヅル アステル 天真,20/12/2021,36204,original,https://i.ytimg.com/vi/JdmabABHdwU/default.jpg
24/01/2022,j28SJWoSbOY,シル・ヴ・プレジデント - 尾丸ポルカ(cover),Polka Ch. 尾丸ポルカ,ポルカ,19/12/2021,281213,cover,https://i.ytimg.com/vi/j28SJWoSbOY/default.jpg
24/01/2022,-gJOyj7Qz0I,【歌ってみた】走れ  / アステル 夕刻ロベル,astel ch.アステル,アステル ロベル,18/12/2021,44035,cover,https://i.ytimg.com/vi/-gJOyj7Qz0I/default.jpg
24/01/2022,eBjPG7oxqFU,アニマル / 猫又おかゆ(cover),Okayu Ch. 猫又おかゆ,おかゆ,17/12/2021,1814655,cover,https://i.ytimg.com/vi/eBjPG7oxqFU/default.jpg
24/01/2022,X8j49duZjwc,阿修羅ちゃん／天音かなた(cover),Kanata Ch. 天音かなた,かなた,16/12/2021,603406,cover,https://i.ytimg.com/vi/X8j49duZjwc/default.jpg
24/01/2022,cT-E4SiE7n8,【歌ってみた】115万キロのフィルム / Official髭男dism covered by岸堂天真【ホロスターズ】,Temma Ch. 岸堂天真,天真,14/12/2021,67771,cover,https://i.ytimg.com/vi/cT-E4SiE7n8/default.jpg
24/01/2022,80XFDi-Vz8c,シューティングスター,Various Artists - Topic,天真,14/12/2021,13137,original,https://i.ytimg.com/vi/80XFDi-Vz8c/default.jpg
24/01/2022,wtzsiwOTGGA,チチンプイプイ/夏色まつり(cover),Matsuri Channel 夏色まつり,まつり,13/12/2021,674463,cover,https://i.ytimg.com/vi/wtzsiwOTGGA/default.jpg
24/01/2022,UXQDUhSr8nU,シネマ / 星街すいせい×奏手イヅル×アステル･レダ(Cover),Suisei Channel,すいせい イヅル アステル,13/12/2021,992107,cover,https://i.ytimg.com/vi/UXQDUhSr8nU/default.jpg
24/01/2022,7ZAeFUmGx4Y,画面の中の君が好き / AZKi,AZKi Channel,AZKi,12/12/2021,51842,original,https://i.ytimg.com/vi/7ZAeFUmGx4Y/default.jpg
24/01/2022,BWTAWOjcXto,画面の中の君が好き,AZKi - Topic,AZKi,11/12/2021,9798,original,https://i.ytimg.com/vi/BWTAWOjcXto/default.jpg
24/01/2022,D5_ktqaiaPw,【オリジナル楽曲MV】Pentas【ホロスターズ】,holostars ホロスターズ - VTuber Group,みやび イヅル アルランディス 律可 アステル 天真 ロベル シエン オウガ,10/12/2021,181855,original,https://i.ytimg.com/vi/D5_ktqaiaPw/default.jpg
24/01/2022,YO1V9fn7zYo,「Yona Yona Journey / TAKU INOUE & Mori Calliope」MUSIC VIDEO,TAKU INOUE,Calliope,10/12/2021,334649,original,https://i.ytimg.com/vi/YO1V9fn7zYo/default.jpg
24/01/2022,qjuFaWGeCf8,ちくわラップ【角巻わため/ホロライブ４期生】,Watame Ch. 角巻わため,わため,9/12/2021,118689,original,https://i.ytimg.com/vi/qjuFaWGeCf8/default.jpg
24/01/2022,7TCcgdMfPco,フォニイ／Covered by紫咲シオン【歌ってみた】,Shion Ch. 紫咲シオン,シオン,8/12/2021,635778,cover,https://i.ytimg.com/vi/7TCcgdMfPco/default.jpg
24/01/2022,0StSX7bhWDs,シス×ラブ / AZKi×千条アリア【cover】,千条アリア/ARIA PROJECT,AZKi,8/12/2021,17620,cover,https://i.ytimg.com/vi/0StSX7bhWDs/default.jpg
24/01/2022,1EhYg1GlsA4,未来銀河と汽笛のメロディー / アステル・レダ 【オリジナルMV】,astel ch.アステル,アステル,7/12/2021,82266,original,https://i.ytimg.com/vi/1EhYg1GlsA4/default.jpg
24/01/2022,pz0wzRp7nic,わくわくエブリデイ,白上フブキ - Topic,フブキ ミオ,6/12/2021,113448,original,https://i.ytimg.com/vi/pz0wzRp7nic/default.jpg
24/01/2022,PgfZckuqCb0,Love Me Love Me,Pavolia Reine - Topic,Reine,6/12/2021,32014,original,https://i.ytimg.com/vi/PgfZckuqCb0/default.jpg
24/01/2022,yz8AiQc1Bk8,あの青空のせいだ,Pavolia Reine - Topic,Reine,6/12/2021,16251,original,https://i.ytimg.com/vi/yz8AiQc1Bk8/default.jpg
24/01/2022,dzUfNQaaemk,【MV】あの青空のせいだ (Ano Aozora no Sei da) ／ Pavolia Reine【Original Song】,Pavolia Reine Ch. hololive-ID,Reine,6/12/2021,138432,original,https://i.ytimg.com/vi/dzUfNQaaemk/default.jpg
24/01/2022,dPX0_IEXVRo,シル・ヴ・プレジデント／白上フブキ(Cover),フブキCh。白上フブキ,フブキ,5/12/2021,1370191,cover,https://i.ytimg.com/vi/dPX0_IEXVRo/default.jpg
24/01/2022,TqxrS4mxPew,【歌ってみた】Booo! / TOKOTOKO（西沢さんP）covered byアステル&花咲みやび【HOLOSTARS】,Miyabi Ch. 花咲みやび,みやび アステル,5/12/2021,50818,cover,https://i.ytimg.com/vi/TqxrS4mxPew/default.jpg
24/01/2022,NKQvH78Jv04,【COVER】SAIKAI | 再会【Moona x Suisei Hoshimachi | ムーナ／星街すいせい】,Moona Hoshinova hololive-ID,Moona すいせい,3/12/2021,1686210,cover,https://i.ytimg.com/vi/NKQvH78Jv04/default.jpg
24/01/2022,NIv_yYKl9tQ,『旅の途中』  Ninomae Ina'nis (Cover),Ninomae Ina'nis Ch. hololive-EN,Ina'nis,2/12/2021,1506640,cover,https://i.ytimg.com/vi/NIv_yYKl9tQ/default.jpg
24/01/2022,fXeM0fXvOp8,【アニメMV】きらきら／湊あくあ,Aqua Ch. 湊あくあ,あくあ,1/12/2021,705278,original,https://i.ytimg.com/vi/fXeM0fXvOp8/default.jpg
24/01/2022,mLSRdi2o-EI,【チューリングラブ】仲良く歌ってみた【富士葵×ときのそら】,SoraCh. ときのそらチャンネル,そら,1/12/2021,209172,cover,https://i.ytimg.com/vi/mLSRdi2o-EI/default.jpg
24/01/2022,TlSzfEM5NcQ,【フルアニメーションMV】のんびりと、/ AZKi【 #アニAZ 】,AZKi Channel,AZKi,1/12/2021,77207,original,https://i.ytimg.com/vi/TlSzfEM5NcQ/default.jpg
24/01/2022,yTb_AvLchgY,神っぽいな / ラプラス・ダークネス Cover,Laplus ch. ラプラス・ダークネス - holoX -,ラプラス,1/12/2021,6686802,cover,https://i.ytimg.com/vi/yTb_AvLchgY/default.jpg
24/01/2022,aWWhjisKKlA,[MV] USSEEWA (Cover) - Calliope Mori x Milky Queen,Mori Calliope Ch. hololive-EN,Calliope,30/11/2021,1583108,cover,https://i.ytimg.com/vi/aWWhjisKKlA/default.jpg
24/01/2022,nCyKjz-ie3c,【おちゃめ機能】holoXが早速吹っ切れた【ホロライブ6期生で歌ってみた】,Koyori ch. 博衣こより - holoX -,ラプラス ルイ クロヱ いろは こより,30/11/2021,1793991,cover,https://i.ytimg.com/vi/nCyKjz-ie3c/default.jpg
24/01/2022,7jk8e94Cr7U,ファイアーエムブレムのテーマ / 戌神ころね（cover）4K,Korone Ch. 戌神ころね,ころね,30/11/2021,685385,cover,https://i.ytimg.com/vi/7jk8e94Cr7U/default.jpg
24/01/2022,2uLk_H0NNb0,Pentas,Various Artists - Topic,アルランディス 律可 ロベル シエン オウガ,30/11/2021,63186,original,https://i.ytimg.com/vi/2uLk_H0NNb0/default.jpg
24/01/2022,pmFbqPRFz_8,【MV】ルマ／博衣こより cover【歌ってみた】,Koyori ch. 博衣こより - holoX -,こより,28/11/2021,2156441,cover,https://i.ytimg.com/vi/pmFbqPRFz_8/default.jpg
24/01/2022,LHSLuBt7aB8,神っぽいな／Covered by紫咲シオン【歌ってみた】,Shion Ch. 紫咲シオン,シオン,28/11/2021,1811307,cover,https://i.ytimg.com/vi/LHSLuBt7aB8/default.jpg
24/01/2022,dkCPkLmU7l4,EYE / 鷹嶺ルイ(cover),Lui ch. 鷹嶺ルイ - holoX -,ルイ,27/11/2021,1631746,cover,https://i.ytimg.com/vi/dkCPkLmU7l4/default.jpg
24/01/2022,HoXvCbBLja8,"Demon Slayer OP - ""Gurenge"" feat. Ayunda Risu Hololive-ID (Piano Version)",Fonzi M - Melodies on Piano,Risu,27/11/2021,81919,original,https://i.ytimg.com/vi/HoXvCbBLja8/default.jpg
24/01/2022,vp8HbGYXpNw,「ヴァンパイア」不知火フレア(Cover)【歌ってみた】,Flare Ch. 不知火フレア,フレア,27/11/2021,259839,cover,https://i.ytimg.com/vi/vp8HbGYXpNw/default.jpg
24/01/2022,JSTl0AhSZNk,Lioness’ Pride （Twilight ver.）,Various Artists - Topic,ぼたん,26/11/2021,12163,original,https://i.ytimg.com/vi/JSTl0AhSZNk/default.jpg
24/01/2022,InebE5EVPTY,あすいろClearSky （Twilight ver.）,hololive IDOL PROJECT - Topic,,26/11/2021,7075,original,https://i.ytimg.com/vi/InebE5EVPTY/default.jpg
24/01/2022,T4eHTC78sAg,Bluerose （Twilight ver.）,Suisei Hoshimachi - Topic,すいせい,26/11/2021,33359,original,https://i.ytimg.com/vi/T4eHTC78sAg/default.jpg
24/01/2022,a4Tn8kLF9Eo,今宵はHalloween Night! （Twilight ver.）,hololive IDOL PROJECT - Topic,,26/11/2021,7020,original,https://i.ytimg.com/vi/a4Tn8kLF9Eo/default.jpg
24/01/2022,25-MszDvjWQ,STARDUST SONG （Twilight ver.）,hololive IDOL PROJECT - Topic,,26/11/2021,6437,original,https://i.ytimg.com/vi/25-MszDvjWQ/default.jpg
24/01/2022,QCEiAK3UKXM,"mayday,mayday （Twilight ver.）",角巻わため - Topic,わため,26/11/2021,9076,original,https://i.ytimg.com/vi/QCEiAK3UKXM/default.jpg
24/01/2022,I868h-kEMms,VIOLET （Twilight ver.）,Various Artists - Topic,,26/11/2021,12381,original,https://i.ytimg.com/vi/I868h-kEMms/default.jpg
24/01/2022,DMUOwv4ynps,特者生存ワンダラダー!! （Twilight ver.）,天音かなた - Topic,かなた,26/11/2021,8648,original,https://i.ytimg.com/vi/DMUOwv4ynps/default.jpg
24/01/2022,iiUt5FQJnPo,BLUE CLAPPER （Twilight ver.）,hololive IDOL PROJECT - Topic,,26/11/2021,10593,original,https://i.ytimg.com/vi/iiUt5FQJnPo/default.jpg
24/01/2022,dxGhBo0J_Qs,Caesura of Despair （Twilight ver.）,IRyS - Topic,IRyS,26/11/2021,19008,original,https://i.ytimg.com/vi/dxGhBo0J_Qs/default.jpg
24/01/2022,mqwRg9ZgANI,【cover】フォニイ(Phony)  / Anya Melfissa,Anya Melfissa Ch. hololive-ID,Anya,26/11/2021,424650,cover,https://i.ytimg.com/vi/mqwRg9ZgANI/default.jpg
24/01/2022,N029UUlH1Dc,フォニイ / 星街すいせい(Cover),Suisei Channel,すいせい,26/11/2021,6023753,cover,https://i.ytimg.com/vi/N029UUlH1Dc/default.jpg
24/01/2022,4bikbA1kR7g,HINOTORI - Takanashi Kiara 【REDSHiFT Remix】,Takanashi Kiara Ch. hololive-EN,Kiara,26/11/2021,156981,original,https://i.ytimg.com/vi/4bikbA1kR7g/default.jpg
24/01/2022,-lI8zx_2M8c,HINOTORI - Takanashi Kiara 【Lone Alpha Remix】,Takanashi Kiara Ch. hololive-EN,Kiara,25/11/2021,106925,original,https://i.ytimg.com/vi/-lI8zx_2M8c/default.jpg
24/01/2022,8D5BQVhaF6c,【歌ってみた】Mrs Pumpkinの滑稽な夢 影山シエン/夕刻ロベル【ばぶどん】,Shien Ch.影山シエン,ロベル シエン,25/11/2021,64936,cover,https://i.ytimg.com/vi/8D5BQVhaF6c/default.jpg
24/01/2022,MfLWYoBdkUE,HINOTORI - Takanashi Kiara【Astrophysics Remix】,Takanashi Kiara Ch. hololive-EN,Kiara,25/11/2021,193432,original,https://i.ytimg.com/vi/MfLWYoBdkUE/default.jpg
24/01/2022,6uN99OAINAY,EYE/常闇トワ(cover),Towa Ch. 常闇トワ,トワ,24/11/2021,1337606,cover,https://i.ytimg.com/vi/6uN99OAINAY/default.jpg
24/01/2022,TgRLreIZiaE,ときのそら「HOT LIMIT」MusicVideo(Short ver.),SoraCh. ときのそらチャンネル,そら,24/11/2021,704708,original,https://i.ytimg.com/vi/TgRLreIZiaE/default.jpg
24/01/2022,wLmMSJXoQ8A,【MOSAIC.WAV】洗脳・搾取・虎の巻 / AZKi【歌ってみた】,AZKi Channel,AZKi,23/11/2021,105041,cover,https://i.ytimg.com/vi/wLmMSJXoQ8A/default.jpg
24/01/2022,yvfKJnuDK7s,ファンサ,TOKINOSORA - Topic,,23/11/2021,93882,original,https://i.ytimg.com/vi/yvfKJnuDK7s/default.jpg
24/01/2022,Jo0u34m6HuQ,怪物,TOKINOSORA - Topic,,23/11/2021,95119,original,https://i.ytimg.com/vi/Jo0u34m6HuQ/default.jpg
24/01/2022,zPFxKxo1ZgM,アンドロイドガール,TOKINOSORA - Topic,,23/11/2021,45543,original,https://i.ytimg.com/vi/zPFxKxo1ZgM/default.jpg
24/01/2022,EULWO7E4w8s,赤いスイートピー,TOKINOSORA - Topic,,23/11/2021,47939,original,https://i.ytimg.com/vi/EULWO7E4w8s/default.jpg
24/01/2022,ihREuw5PKs4,KING,TOKINOSORA - Topic,,23/11/2021,45480,original,https://i.ytimg.com/vi/ihREuw5PKs4/default.jpg
24/01/2022,qy1v9m1FCCg,God knows...,TOKINOSORA - Topic,,23/11/2021,246148,original,https://i.ytimg.com/vi/qy1v9m1FCCg/default.jpg
24/01/2022,NUwMo_epcD8,エイリアンエイリアン,TOKINOSORA - Topic,,23/11/2021,61594,original,https://i.ytimg.com/vi/NUwMo_epcD8/default.jpg
24/01/2022,NuxUU0RO4nY,HOT LIMIT,TOKINOSORA - Topic,,23/11/2021,487487,original,https://i.ytimg.com/vi/NuxUU0RO4nY/default.jpg
24/01/2022,N1vLs-dZNWw,Butterfly,TOKINOSORA - Topic,,23/11/2021,46774,original,https://i.ytimg.com/vi/N1vLs-dZNWw/default.jpg
24/01/2022,hFlfVwam9sw,MASAYUME CHASING,TOKINOSORA - Topic,,23/11/2021,70244,original,https://i.ytimg.com/vi/hFlfVwam9sw/default.jpg
24/01/2022,uv6VUiqkDHI,太陽系デスコ,TOKINOSORA - Topic,,23/11/2021,73360,original,https://i.ytimg.com/vi/uv6VUiqkDHI/default.jpg
24/01/2022,cDKmDiAwikE,ロマンスの神様,TOKINOSORA - Topic,,23/11/2021,92391,original,https://i.ytimg.com/vi/cDKmDiAwikE/default.jpg
24/01/2022,6ELw8xouuww,まっさらブルージーンズ,TOKINOSORA - Topic,,23/11/2021,38714,original,https://i.ytimg.com/vi/6ELw8xouuww/default.jpg
24/01/2022,gJ7N2BQUsuY,この世界で,TOKINOSORA - Topic,,23/11/2021,35834,original,https://i.ytimg.com/vi/gJ7N2BQUsuY/default.jpg
24/01/2022,cblBnU6UL5Y,嘘,TOKINOSORA - Topic,,23/11/2021,74488,original,https://i.ytimg.com/vi/cblBnU6UL5Y/default.jpg
24/01/2022,--c3tOUcrZA,DEGENELATE,HAACHAMA Ch 赤井はあと,,22/11/2021,240161,original,https://i.ytimg.com/vi/--c3tOUcrZA/default.jpg
